instance,ordinary_sha256,portable_sha256,ordinary_action_sha256,portable_action_sha256,ordinary_nodes,portable_nodes,ordinary_llm_calls,portable_llm_calls,action_tree_equal
django__django-12284,f9852cb0a07443fe1bb23bd61bf8e024c6ed429ec102bdcd83971f9818ec4996,1d104b04edd3f1824f459337f7c533bf886330ff9d515e6619b6b636271f4fc0,4d34d7bd1cd88a17fdd124921fc36c9160a0ea93104ce5a7ac9d624adbdca41b,e700cdc2eb953706889945f0225fe278d69cd3d954ca03f0d469df1d962d25fe,30,30,37,34,False
django__django-12286,bb2e75212825f78dcd27812d3e130216800847836c5d047fddba458c092f0f69,393bfff204a58dc93d021c5ae0ef76269765277568e0da79e4b33616ec1ac55a,687a9c054533d493712f804ed3ed36d9b0a72e887f8dbb4857d2d1f258accee3,127acdbe2a2da0f404fb92827b480e4eb7e0bfbfa3e441c7624eeca5614315b4,30,30,31,29,False
django__django-12308,f5955ec541ff5a07ff505adfeb6371abe60de623eb5d3182bc14db1c6a888b84,8e7dbcc39f165e9e454741e710523959a2a2044cd83db927e81fa0cb061e18a1,914956b71c280e1579420034ebf275fc46e3ebfa9a13531e03e094188e9e3fa2,9293aa8d1d49a4e6093cc2db3b70e77a1fcc0d09b61c50a96ec461a0f84b1c84,30,30,34,35,False
django__django-12453,bc5a3451fdeb5a402227b8d0746f8fd6c5f6bbfd6570f5ebffac7f8838cfec0c,f5ce15bf293edefb297f24271c5851ad937299bc5733b281cc90f37084e61556,c1caa8d521d1799986f5029871ec2b423df374aa8aeba410516b231fe586bf04,e0a611059b04f001e4c3309d34679868e53dedfe39f720c063a3d3d59cfc6367,30,30,37,35,False
django__django-12470,cab11ab147c074b163aa499a0ae7359624b8edd4e3c1d0d1410b25ebcf653f07,49bbb47ceac2249c3e722735a6b4746884182249067024364e7250e581b70881,fe2dff2e05be62483811c175a02fd2194e7f4dee1814ec3596b84bbb2eea1048,b9dcf2bdf59f80df53a2bdf5e1676b204956b2db9054492d49c676930651fa91,30,30,40,38,False
django__django-12497,810f5eb55f45822c25f1d0050e44432a54a4261467ed2d296469a3f3c8cfc3cd,5f9f9789910f118cd2db57aa96e4c52d82d52dc9ff11da6c94dbf9d3c9542882,99c6006b34ed65184b97f85ca9b3fe4ed3ee232cb75e15a27c1c723927cc19c4,3333cf848e87a803d9abffe8dbedd6c22197c909eab982033d54cb984b2d2876,30,30,34,39,False
django__django-12700,baded8847ab5e704817a3ea793e284748b81f19a689d0e1bc91f9bb5c6a2565c,49ae8e3c349e92c005684213e26451539f28a5cc8f9fbc9734c1d6b1d2be919e,9e0a12e11358040e850175b683eaac0860818643a6cc8a3cc712810e16656c5f,133a81dc0e0923a865d14ef9c84ce0f70f7edae0c456a5cb842054be6f0b29e6,30,30,31,32,False
django__django-12747,4b99bb3f65cf8340b08695c57977f36accf7b5c4e6348ee2c3872dfbe67885be,147763277524f732acdc5fd620baea28b6479ee7dcf9ee26635fdfa2dbafe141,4613119cd8c7958067a708f35f5450099faa0192427e05866ae8165e52bff5f0,bb2e84546e6d2ad190e2bf3e5cfc62fe1b4576a123300d376605010e487de9fc,30,30,31,33,False
django__django-12856,f681684060301b5b7730f4567e44a2a920c4717a40281c439d77205b96bff465,4718fa42f8c20bd4a9467b31793b9f5865d6361d234eda8475373149d855f5d1,2317d6e5fce093537a19494c5825bb4fe31c8df3bea22949b22eee0561b3d16b,b3388e229bee0713f6bbbfb7c654908a99cf10ab788653a58c42757a26c492f2,30,30,35,37,False
django__django-12908,41fbd8be39dddfda0617144837e7f5c6dbc91e6821e034dfc3a0039a9dc4e4fd,f0b4fd0ca4d4a6d85461a0db0db835957e1c6435fad7930963cc945699564775,17858e26bba9b1d56a11ce6febc3f9ccf6a2a6bb8d0b3e4e8e9bcef268a66d01,1ea6a34e4d93e3e4a58bd35b43645294684388f7dcf1ca1d5e11d2a082b1e7b9,30,30,34,35,False
django__django-12915,c376def5f2f2f2db1dad48bc72d88809e9e5641b29f0e36c5b2e8a29884bf01c,6f9ca2e51a2c792e36f434680bd9306ba902e0378d4d68c8b5918f6f42c83ff9,e76e0703bc7ea4f6a1fbe7fd0ee6b9b1ae097b965fda12f034c24bd7040449a7,5260d2e809d94131bbedc048d7095fe110a976d6b7c7f385ef15a21daf4a9230,30,25,31,26,False
